키워드를 추가 할 광고그룹ID 와 신규 키워드를 입력하세요.,,,,
광고그룹ID는 '광고다운로드' 파일에서 확인할 수 있습니다. 입찰가는 쉼표나 '원' 표시를 제외한 숫자만 입력해 주세요.,,,,
입력은 최대 만(10000)개까지 가능합니다. (광고그룹 당 키워드는 1000개까지 등록가능합니다),,,,
그룹의 웹사이트URL이 1개인 경우라도 PC/모바일 URL에 동일하게 2번 입력해주시고 PC/모바일 웹사이트를 별도로 가지고 있는 경우에만 URL을 PC /모바일 구분해서 입력하세요. URL은 http:// 등으로 시작하는 형식이어야 합니다.,,,,
[중요] 7행부터 입력값이 시스템에 반영됩니다. 1~6행을 삭제하지 마세요. 엑셀에서 저장시 CSV 파일형식을 꼭 확인하시기 바랍니다.,,,,
광고그룹ID(필수),키워드(필수),PC URL(선택),모바일 URL(선택),"키워드입찰가(선택,숫자만)"
grp-a001-01-000000072767915,분당서울대학교병원면접,https://hyunhak.com/guidebook/snu.html,https://hyunhak.com/guidebook/snu.html,700
grp-a001-01-000000072767919,숙명여대면접,https://hyunhak.com/guidebook/sookmyung.html,https://hyunhak.com/guidebook/sookmyung.html,700
grp-a001-01-000000072767925,숭실대면접,https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,700
grp-a001-01-000000072767925,숭실대학교면접,https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,700
grp-a001-01-000000072767925,숭실대수시면접,https://hyunhak.com/guidebook/soongsil.html,https://hyunhak.com/guidebook/soongsil.html,500
grp-a001-01-000000072767929,성신여대면접,https://hyunhak.com/guidebook/sungshin.html,https://hyunhak.com/guidebook/sungshin.html,700
grp-a001-01-000000072767934,서울여대면접,https://hyunhak.com/guidebook/swu.html,https://hyunhak.com/guidebook/swu.html,500
grp-a001-01-000000072767964,울산대면접,https://hyunhak.com/guidebook/ulsan.html,https://hyunhak.com/guidebook/ulsan.html,500
grp-a001-01-000000072767984,서울시립대면접,https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,700
grp-a001-01-000000072767984,시립대면접,https://hyunhak.com/guidebook/uos.html,https://hyunhak.com/guidebook/uos.html,700
grp-a001-01-000000072767993,연세대제시문면접,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,500
grp-a001-01-000000072767993,연세대면접,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,700
grp-a001-01-000000072767993,연세대면접학원,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,700
grp-a001-01-000000072767993,연세대학교면접,https://hyunhak.com/programs/yonsei.html,https://hyunhak.com/programs/yonsei.html,700
